	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché
59	tatauieren/tätowieren	piaïfer	False	Zoologie_Botanique	10	0		False	
60	der Hundehalter, -		False	Zoologie_Botanique	10	0	der Hundehalter	True	Hundehalter
61			False	Zoologie_Botanique	10	0		False	
0	die Hundepflege	le bouledogue	False	Zoologie_Botanique	10	1	die Hundepflege	True	Hundepflege
1	die Tollwut ; tollwütig	le bouvier	False	Zoologie_Botanique	10	1	die Tollwut	True	Tollwut
2	die Staupe	le braque	False	Zoologie_Botanique	10	1	die Staupe	True	Staupe
3	die Katze, n	le caniche	False	Zoologie_Botanique	10	1	die Katze	True	Katze
4	der Kater, -	le carlin	False	Zoologie_Botanique	10	1	der Kater	True	Kater
5	der kastrierte Kater	le chien-loup	False	Zoologie_Botanique	10	1		False	
6	die junge Katze	le cocker	False	Zoologie_Botanique	10	1		False	
7	die Miezekatze (voc eni)	le dogue	False	Zoologie_Botanique	10	1		False	
8	miauen ; schnurren ; fauchen	l'épagneul 	False	Zoologie_Botanique	10	1		False	
9	die Schnurrhaare npi	le petit épagneul allemand	False	Zoologie_Botanique	10	1	die Schnurrhaare	True	Schnurrhaare
10	die Kralle, n ; zurückziehbar	la levrette	False	Zoologie_Botanique	10	1	die Kralle	True	Kralle
11	kratzen	le lévrier	False	Zoologie_Botanique	10	1		False	
12	Milch schlecken	le lévrier afghan/l'afghan 	False	Zoologie_Botanique	10	1		False	
13	einen Buckol machen	le pékinois	False	Zoologie_Botanique	10	1		False	
14	die (europäische) Hauskatze	le saint-bernard	False	Zoologie_Botanique	10	1	die (europäische)	True	(europäische)
15	die Angorakatze ; die Kartäuserkatze	le spitz/le loulou	False	Zoologie_Botanique	10	1	"die Angorakatze
die"	True	"Angorakatze
die"
16	die Perserkatze ; die Siamkatze	le teckel	False	Zoologie_Botanique	10	1	"die Perserkatze
die"	True	"Perserkatze
die"
17	die verwilderte Katze	le terre-neuve	False	Zoologie_Botanique	10	1		False	
18	eine K. unbestimmter Rasse	le bâtard/le corniaud/le chier	False	Zoologie_Botanique	10	1		False	
19	die Kurzhaarkatze	croisé/mâtiné	False	Zoologie_Botanique	10	1	die Kurzhaarkatze	True	Kurzhaarkatze
20	die Langhaarkatze	le cabot/clebs/clébard	False	Zoologie_Botanique	10	1	die Langhaarkatze	True	Langhaarkatze
21	die Zuchttiere np/	le roquet	False	Zoologie_Botanique	10	1	die Zuchttiere	True	Zuchttiere
22	das Pferd, e	l'élevage de chiens	False	Zoologie_Botanique	10	1	das Pferd	True	Pferd
23	der Hengst, e	le chenil	False	Zoologie_Botanique	10	1	der Hengst	True	Hengst
24	die Stute, n ; die Zuchtstute	la niche	False	Zoologie_Botanique	10	1	die Stute	True	Stute
25	das Fohlen, -/das Füllen, -;	odresser un chien	False	Zoologie_Botanique	10	1	das Fohlen	True	Fohlen
26	das Stutenfohlen	dressé à rapporter le gibier	False	Zoologie_Botanique	10	1	das Stutenfohlen	True	Stutenfohlen
27	der Wallach, e (kastriert)	le dresseur	False	Zoologie_Botanique	10	1	der Wallach	True	Wallach
28	das Vollblut ; das Halbblut	le dressage	False	Zoologie_Botanique	10	1	"das Vollblut
das"	True	"Vollblut
das"
29	das Zugpferd	obéir à son aître	False	Zoologie_Botanique	10	1	das Zugpferd	True	Zugpferd
30	das Pony, s	obéir à la voix	False	Zoologie_Botanique	10	1	das Pony	True	Pony
31	das Ross, e (poeı)	Au pied ! ; Assis !	False	Zoologie_Botanique	10	1	das Ross	True	Ross
32	"der Gaul, ""e"	Couché !/Terre !/À ta place !	False	Zoologie_Botanique	10	1	der Gaul	True	Gaul
33	die Nüster, n	Cherche ! ; Apporte !	False	Zoologie_Botanique	10	1	die Nüster	True	Nüster
34	der Pferdekamm	 la patte !	False	Zoologie_Botanique	10	1	der Pferdekamm	True	Pferdekamm
35	die Mähne, n	Attaque !	False	Zoologie_Botanique	10	1	die Mähne	True	Mähne
36	der Widerrist	faire le beau	False	Zoologie_Botanique	10	1	der Widerrist	True	Widerrist
37	die Kruppe, n	le chien d’aveugle	False	Zoologie_Botanique	10	1	die Kruppe	True	Kruppe
38	die Weiche, n/die Flanke	le chien de chasse	False	Zoologie_Botanique	10	1	die Weiche	True	Weiche
39	das Vorder-, Hinterbein, e	le chien de compagnie	False	Zoologie_Botanique	10	1		False	
40	der Unterschenkel, -, die Hosen (pl)	le chien-guide	False	Zoologie_Botanique	10	1	der Unterschenkel	True	Unterschenkel
41	das Sprunggelenk	le ch. policier ; le limier	False	Zoologie_Botanique	10	1	das Sprunggelenk	True	Sprunggelenk
42	der Huf, e	le ch. de garde	False	Zoologie_Botanique	10	1	der Huf	True	Huf
43	das Haar, e ‚das Rosshaar	le ch. de défense	False	Zoologie_Botanique	10	1	das Haar	True	Haar
44	der Schweif, e	un olosse	False	Zoologie_Botanique	10	1	der Schweif	True	Schweif
45	das Fell, e	le petit chien d'agrément	False	Zoologie_Botanique	10	1	das Fell	True	Fell
46	"der Fuchs, ""e"	le collier	False	Zoologie_Botanique	10	1	der Fuchs	True	Fuchs
47	der Braune (adj) ; der Schimmal, der Apfelschimmel	la uselière	False	Zoologie_Botanique	10	1		False	
48	der Rappe, n,n	museler un chien	False	Zoologie_Botanique	10	1	der Rappe	True	Rappe
49	rassig	la laisse	False	Zoologie_Botanique	10	1		False	
50	(un)gezähmt ; unzähmbar	tenir un chien en laisse	False	Zoologie_Botanique	10	1		False	
51	fromm	sortir le chien	False	Zoologie_Botanique	10	1		False	
52	bockig/störrisch	promener le chien	False	Zoologie_Botanique	10	1		False	
53	feurig ‚ dämpfig	les crottes de chien	False	Zoologie_Botanique	10	1		False	
54	scheu ; widerspenstig	s'échapper	False	Zoologie_Botanique	10	1		False	
55	sich bäumen	sans aître ; perdu	False	Zoologie_Botanique	10	1		False	
56	durch-gehen“, i, a	un chien errant	False	Zoologie_Botanique	10	1		False	
57	schnauben	le tatouage	False	Zoologie_Botanique	10	1		False	
58	wiehern ; das Wiehern	tatouer	False	Zoologie_Botanique	10	1		False	
59	mit den Hufen stampfen	le propriétaire d'un-chien	False	Zoologie_Botanique	10	1		False	
60			False	Zoologie_Botanique	10	1		False	
0	das wild lebende Säugetier, e	le ammiiere Sauvage	False	Zoologie_Botanique	11	0		False	
1	die Huftiere npl	les ongulés 	False	Zoologie_Botanique	11	0	die Huftiere	True	Huftiere
2	der Hirsch, &	le cerf \	False	Zoologie_Botanique	11	0	der Hirsch	True	Hirsch
3	der Rot-/Edelhirsch	le cerf	False	Zoologie_Botanique	11	0		False	
4	das Geweih, e	les bois /la ramure	False	Zoologie_Botanique	11	0	das Geweih	True	Geweih
5	"der Spieß, e ;der Spießbock, ""e"	la dague ; le daguet	False	Zoologie_Botanique	11	0	der Spieß	True	Spieß
6	"das Horn, ""er"	la corne	False	Zoologie_Botanique	11	0	das Horn	True	Horn
7	gehörnt ; horn(art)ig	à corne/cornu ; corné	False	Zoologie_Botanique	11	0		False	
8	röhren/schreien ; das Röhren	bramer ; le brame	False	Zoologie_Botanique	11	0		False	
9	äsen tr	paitre tr/pâturer 	False	Zoologie_Botanique	11	0		False	
10	"die Hirschkuh, ""e"	la biche	False	Zoologie_Botanique	11	0	die Hirschkuh	True	Hirschkuh
11	"das Hirschkalb, ""er"	le aon	False	Zoologie_Botanique	11	0	das Hirschkalb	True	Hirschkalb
12	das Wildschwein, e	le sanglier	False	Zoologie_Botanique	11	0	das Wildschwein	True	Wildschwein
13	der Keiler, -/der Eber, -	le sanglier âle	False	Zoologie_Botanique	11	0	der Keiler	True	Keiler
14	ein alter Keiler	un Solitaire 	False	Zoologie_Botanique	11	0		False	
15	"die Wildsau, ""e/en/die Bache, n"	la laie	False	Zoologie_Botanique	11	0	die Wildsau	True	Wildsau
16	der Frischling, e	le arcassin	False	Zoologie_Botanique	11	0	der Frischling	True	Frischling
17	"der (Wild)schweinskopf, ""e"	la hure	False	Zoologie_Botanique	11	0	der (Wild)schweinskopf	True	(Wild)schweinskopf
18	der Hauer, -	la défense 	False	Zoologie_Botanique	11	0	der Hauer	True	Hauer
19	das Rudel, -	la compagnie/la harde	False	Zoologie_Botanique	11	0	das Rudel	True	Rudel
20	die Suhle, n	la bauge	False	Zoologie_Botanique	11	0	die Suhle	True	Suhle
21	sich suhlen	se vautrer dans la bauge	False	Zoologie_Botanique	11	0		False	
22	die Antilope, n	ol’antilope 	False	Zoologie_Botanique	11	0	die Antilope	True	Antilope
23	der Wisent, e ;. der Bison, s	le bison ; le bison d'Amériq; 	False	Zoologie_Botanique	11	0	der Wisent	True	Wisent
24	der Moschusochse, n, n	le bœuf usqué	False	Zoologie_Botanique	11	0	der Moschusochse	True	Moschusochse
25	der Moschus	le usc 	False	Zoologie_Botanique	11	0	der Moschus	True	Moschus
26	"der Steinbock, ""e"	le bouquetin	False	Zoologie_Botanique	11	0	der Steinbock	True	Steinbock
27	der Büffel, -	le buffle	False	Zoologie_Botanique	11	0	der Büffel	True	Büffel
28	„das Kamel, e ; die Kamelstute, n	le chameau : la chamelle	False	Zoologie_Botanique	11	0		False	
29	das Dromedar, e	le dromadaire	False	Zoologie_Botanique	11	0	das Dromedar	True	Dromedar
30			False	Zoologie_Botanique	11	0		False	
0	aus-Schlagen, u, a, ä	ruer	False	Zoologie_Botanique	11	1		False	
1	der Ese), -	ol'âne /le baudet	False	Zoologie_Botanique	11	1		False	
2	schreien, ie, ie ‚iahen	braire ; pousser des hi-hans	False	Zoologie_Botanique	11	1		False	
3	der Zuchtesel	l'âne étalon/le baudet	False	Zoologie_Botanique	11	1	der Zuchtesel	True	Zuchtesel
4	die Eselin, nen ; der junge Esel	l'ânesse : ; l’ânon 	False	Zoologie_Botanique	11	1	die Eselin	True	Eselin
5	das Mauiltier, e	le ulet 	False	Zoologie_Botanique	11	1	das Mauiltier	True	Mauiltier
6	der Maulesel	le bardot/bardeau 	False	Zoologie_Botanique	11	1	der Maulesel	True	Maulesel
7	das weibliche Maultier	la ule	False	Zoologie_Botanique	11	1		False	
8	das Lasttier, e	la bête de somme	False	Zoologie_Botanique	11	1	das Lasttier	True	Lasttier
9	die Rinder np!	les bovins ,les bovidés	False	Zoologie_Botanique	11	1	die Rinder	True	Rinder
10	cer Wiederkäuer, - ; wieder-käuen	le ruminant ; ruminer	False	Zoologie_Botanique	11	1		False	
11	das Rind, er	le bœuf \	False	Zoologie_Botanique	11	1	das Rind	True	Rind
12	der Ochse, n, n	le bœuf 	False	Zoologie_Botanique	11	1	der Ochse	True	Ochse
13	der Stier, e/der Bulle, n, n	le taureau	False	Zoologie_Botanique	11	1	der Stier	True	Stier
14	der junge Stier	le taurillon	False	Zoologie_Botanique	11	1		False	
15	mit den Hörnern stoßen, ie, 0, ö	donner des coups de corne	False	Zoologie_Botanique	11	1		False	
16	"das Kalb, ""er ; die Färse, n"	le veau ; la genisse	False	Zoologie_Botanique	11	1	das Kalb	True	Kalb
17	"die Kuh, ""e ; die Milchkuh"	la vache ; la vache laitière	False	Zoologie_Botanique	11	1	die Kuh	True	Kuh
18	das Euter, - ; die Zitze, n	le pis/la amelle ; le trayon	False	Zoologie_Botanique	11	1	das Euter	True	Euter
19	muhen, brüllen	beugler, ugir	False	Zoologie_Botanique	11	1		False	
20	die Herce, n	le troupeau	False	Zoologie_Botanique	11	1	die Herce	True	Herce
21	der Kuhlladen, -	la bouse de vache	False	Zoologie_Botanique	11	1	der Kuhlladen	True	Kuhlladen
22	das Schwein, e	le porc, le cochon	False	Zoologie_Botanique	11	1	das Schwein	True	Schwein
23	"der Eber, - ; die Sau, ""e/en"	le verrat ; la truie	False	Zoologie_Botanique	11	1	der Eber	True	Eber
24	das Ferkel, -	le porcelet/le gore	False	Zoologie_Botanique	11	1	das Ferkel	True	Ferkel
25	der Schweinerüssel, - ; grunzen	le groin ; grogner	False	Zoologie_Botanique	11	1	der Schweinerüssel	True	Schweinerüssel
26	die Borste, n	la soie 	False	Zoologie_Botanique	11	1	die Borste	True	Borste
27	"der Ringelschwanz, ""e"	la queue en tire-bouchon	False	Zoologie_Botanique	11	1	der Ringelschwanz	True	Ringelschwanz
28	das Schaf, e ; das Mutterschaf	le outon ; la brebis	False	Zoologie_Botanique	11	1	das Schaf	True	Schaf
29	"der Schafbock, ""e/der Widder, -"	le bélier	False	Zoologie_Botanique	11	1	der Schafbock	True	Schafbock
30	der Hammel, -/”	le outon	False	Zoologie_Botanique	11	1	der Hammel	True	Hammel
31	"das Lamm, ""er ; das Mutterlamm"	l'agneau n ; l'agneau de lait	False	Zoologie_Botanique	11	1	das Lamm	True	Lamm
32	blöken ; das Blöken	bêler ; le bêlement	False	Zoologie_Botanique	11	1		False	
33	das Vlies, &	la toison	False	Zoologie_Botanique	11	1	das Vlies	True	Vlies
34	scheren, o, 0 ; die Schafschur, en	tondre ; la tonte	False	Zoologie_Botanique	11	1		False	
35	; das Wollschaf ; Merinoschaf	le outon à laine ; . érino	False	Zoologie_Botanique	11	1		False	
36	die Schurwolle	la laine vierge	False	Zoologie_Botanique	11	1	die Schurwolle	True	Schurwolle
37	die Ziege, n	la chèvre/la bique m)	False	Zoologie_Botanique	11	1	die Ziege	True	Ziege
38	"der Ziegenbock, ""e"	le bouc	False	Zoologie_Botanique	11	1	der Ziegenbock	True	Ziegenbock
39	das Zicklein, -/das Kitz, e	le chevreau/le cabri	False	Zoologie_Botanique	11	1	das Zicklein	True	Zicklein
40	die Kitze, n	la chevrette	False	Zoologie_Botanique	11	1	die Kitze	True	Kitze
41	meckern (Ziege)	bêler	False	Zoologie_Botanique	11	1		False	
42			False	Zoologie_Botanique	11	1		False	
0	der Höcker, - ; einhöckerig	l'ocelot 	False	Zoologie_Botanique	12	0	der Höcker	True	Höcker
1	der Kameltreiber, - ; die Karawane, n	la panthère/le léopard	False	Zoologie_Botanique	12	0	der Kameltreiber	True	Kameltreiber
2	die Gämse, n	le puma	False	Zoologie_Botanique	12	0	die Gämse	True	Gämse
3	das Reh, e	le tigre	False	Zoologie_Botanique	12	0	das Reh	True	Reh
4	der Damhirsch, &	> animaux à ourrure	False	Zoologie_Botanique	12	0	der Damhirsch	True	Damhirsch
5	der Elch, s	la ourrure	False	Zoologie_Botanique	12	0	der Elch	True	Elch
6	die Gazelle, n	le pelage/la peau	False	Zoologie_Botanique	12	0	die Gazelle	True	Gazelle
7	die Giraffe, n	rayé, zébré ; tigré	False	Zoologie_Botanique	12	0	die Giraffe	True	Giraffe
8	das Lama, s	tacheté	False	Zoologie_Botanique	12	0	das Lama	True	Lama
9	der Mufflon, s/das Wildschaf, &	épais, ourni	False	Zoologie_Botanique	12	0	der Mufflon	True	Mufflon
10	das Okapi, s	doux comme la soie ; soyeu	False	Zoologie_Botanique	12	0	das Okapi	True	Okapi
11	das Rentier, e/Ren, e/s	la belette	False	Zoologie_Botanique	12	0	das Rentier	True	Rentier
12	der Tapir, e	le blaireau	False	Zoologie_Botanique	12	0	der Tapir	True	Tapir
13	der/das Zebu, s/der Buckelochse, n, n	la ouine	False	Zoologie_Botanique	12	0	der Zebu	True	Zebu
14	das Zebra, 5	le uret	False	Zoologie_Botanique	12	0	das Zebra	True	Zebra
15	der Dickhäuter, -	l'hermine 	False	Zoologie_Botanique	12	0	der Dickhäuter	True	Dickhäuter
16	der Elefant, en, en	la loutre	False	Zoologie_Botanique	12	0	der Elefant	True	Elefant
17	"die Elefantenkuh, ""e"	la loutre de er	False	Zoologie_Botanique	12	0	die Elefantenkuh	True	Elefantenkuh
18	der junge Elefant	la art(r}e	False	Zoologie_Botanique	12	0		False	
19	der Rüssel, -	la ouf(fette	False	Zoologie_Botanique	12	0	der Rüssel	True	Rüssel
20	"der Stoßzahn, ""e ; das Elfenbein"	le sconse/le skuns	False	Zoologie_Botanique	12	0	der Stoßzahn	True	Stoßzahn
21	trompeten ; das Trompeten	le putois	False	Zoologie_Botanique	12	0		False	
22	der Elefantenführer, -	le raton laveur	False	Zoologie_Botanique	12	0	der Elefantenführer	True	Elefantenführer
23	das Nil-/Flusspferd, e	le vison ; le vison d'Amériqu	False	Zoologie_Botanique	12	0		False	
24	"das Nashorn, ""er"	la zibeline	False	Zoologie_Botanique	12	0	das Nashorn	True	Nashorn
25	Rauıbtiere npl	> ammifères insectivores	False	Zoologie_Botanique	12	0		False	
26	der Schakal, e	la chauve-souris	False	Zoologie_Botanique	12	0	der Schakal	True	Schakal
27	"der Kojote, n, n/der Präriewolt, ""e"	la pipistrelle	False	Zoologie_Botanique	12	0	der Kojote	True	Kojote
28	"der Fennek, s/ e/der Wüstenfuchs, ""e"	l'oreillard 	False	Zoologie_Botanique	12	0	der Fennek	True	Fennek
29	der Vielfraß, e	le grand urin	False	Zoologie_Botanique	12	0	der Vielfraß	True	Vielfraß
30	"der Wolf, ""e"	la noctule ; le vampire	False	Zoologie_Botanique	12	0	der Wolf	True	Wolf
31	die Wölfin, nen ; das Wölfchen, -	le hérisson	False	Zoologie_Botanique	12	0	die Wölfin	True	Wölfin
32	heulen ; das Heulen	la usaraigne	False	Zoologie_Botanique	12	0		False	
33	"der (Rot)fuchs, ""e"	le pangolin	False	Zoologie_Botanique	12	0	der (Rot)fuchs	True	(Rot)fuchs
34	der Eisfuchs	le tamanoir/le grand	False	Zoologie_Botanique	12	0	der Eisfuchs	True	Eisfuchs
35	der Fuchsbau, e	fourmilier	False	Zoologie_Botanique	12	0	der Fuchsbau	True	Fuchsbau
36	der (Braun)bär, en, en	le tatou	False	Zoologie_Botanique	12	0	der (Braun)bär	True	(Braun)bär
37	die Bärin, nen ; der junge Bär	la taupe	False	Zoologie_Botanique	12	0	die Bärin	True	Bärin
38	der Eisbär	la taupinière	False	Zoologie_Botanique	12	0	der Eisbär	True	Eisbär
39	der Grislibär/Grizziybär	creuser, ouiller la terre	False	Zoologie_Botanique	12	0	"der Grislibär
der"	True	"Grislibär
der"
40	brummen	l'animal ouisseur	False	Zoologie_Botanique	12	0		False	
41	der Panda, s	le paresseux 	False	Zoologie_Botanique	12	0	der Panda	True	Panda
42	der Waschbär	rongeurs 	False	Zoologie_Botanique	12	0	der Waschbär	True	Waschbär
43	Großkatzen fpl	ronger +, grignoter tr	False	Zoologie_Botanique	12	0		False	
44	der Rachen, -	le campagnol des champs	False	Zoologie_Botanique	12	0	der Rachen	True	Rachen
45	die Tatze, n ; die Pranke, n	le castor	False	Zoologie_Botanique	12	0	die Tatze	True	Tatze
46	der Prankenhieb, e	la civette	False	Zoologie_Botanique	12	0	der Prankenhieb	True	Prankenhieb
47	Tauchen ; brüllen	le cochon d'Inde/le cobaye	False	Zoologie_Botanique	12	0		False	
48	lauern (auf+A)	l'écureuil	False	Zoologie_Botanique	12	0		False	
49	springen*, a, u, auf+A	l’éc. vlant/le platouche	False	Zoologie_Botanique	12	0		False	
50	sich stürzen auf+A	le petit-gris ; le vair	False	Zoologie_Botanique	12	0		False	
51	zerreißen, |, i	la genette	False	Zoologie_Botanique	12	0		False	
52	die Höhle, n	la gerboise	False	Zoologie_Botanique	12	0	die Höhle	True	Höhle
53	die Wildkatze, n	le hamster doré	False	Zoologie_Botanique	12	0	die Wildkatze	True	Wildkatze
54	der Gepard, e	le lapin de garenne	False	Zoologie_Botanique	12	0	der Gepard	True	Gepard
55	die Hyäne, n	le lapin	False	Zoologie_Botanique	12	0	die Hyäne	True	Hyäne
56	der Jaguar, e	le lapin âle ; le lièvre âle	False	Zoologie_Botanique	12	0	der Jaguar	True	Jaguar
57	der Löwe, n,n	la lapine	False	Zoologie_Botanique	12	0	der Löwe	True	Löwe
58	die Mähne, n	le lapereau	False	Zoologie_Botanique	12	0	die Mähne	True	Mähne
59	die Löwin, nen ; der junge Löwe	le terrier	False	Zoologie_Botanique	12	0	die Löwin	True	Löwin
60	der Luchs, e	la galerie	False	Zoologie_Botanique	12	0	der Luchs	True	Luchs
61		la chambre	False	Zoologie_Botanique	12	0		False	
62			False	Zoologie_Botanique	12	0		False	
0	die Pardelkatze	la bosse ; à une bosse	False	Zoologie_Botanique	12	1	die Pardelkatze	True	Pardelkatze
1	der Panther/Panter, -/der Leopard, en, en	le chamelier ; la caravane	False	Zoologie_Botanique	12	1	"der Panther
der"	True	"Panther
der"
2	der Puma, s	le chamois, Pisard/izard 	False	Zoologie_Botanique	12	1	der Puma	True	Puma
3	der Tiger, -	le chevreuil	False	Zoologie_Botanique	12	1	der Tiger	True	Tiger
4	Pelztiere np!	le daim	False	Zoologie_Botanique	12	1		False	
5	der Pelz, e	l'élan 	False	Zoologie_Botanique	12	1	der Pelz	True	Pelz
6	das Fall, e	la gazelle	False	Zoologie_Botanique	12	1	das Fall	True	Fall
7	gestreift ; getigert	girafe	False	Zoologie_Botanique	12	1		False	
8	gefleckt/gesprenkelt	le lama	False	Zoologie_Botanique	12	1		False	
9	dichtbehaart	le ouflon	False	Zoologie_Botanique	12	1		False	
10	seidenweich ; seidig	l'okapi 	False	Zoologie_Botanique	12	1		False	
11	das Mauswiesel, -/das Kleine Wiesel	le renne/le caribou	False	Zoologie_Botanique	12	1	das Mauswiesel	True	Mauswiesel
12	der Dachs, a	le tapir	False	Zoologie_Botanique	12	1	der Dachs	True	Dachs
13	der Stein-/Hausmarder	le zébu	False	Zoologie_Botanique	12	1		False	
14	das Frettchen, -	le zèbre	False	Zoologie_Botanique	12	1	das Frettchen	True	Frettchen
15	das Große Wiesal, -/das Hermelin, e	le pachyderme	False	Zoologie_Botanique	12	1	das Große	True	Große
16	der (Fisch)otter, -	l'éléphant 	False	Zoologie_Botanique	12	1	der (Fisch)otter	True	(Fisch)otter
17	der See-/Meerotter	l'éléphante 	False	Zoologie_Botanique	12	1		False	
18	der Edel-/Baummarder, -	l'éléphanteau 	False	Zoologie_Botanique	12	1		False	
19	das Stinktier, e/der Skunk, e/s	la trompe	False	Zoologie_Botanique	12	1	das Stinktier	True	Stinktier
20	der Skunk(s) mpi	la défense ; l'ivoire 	False	Zoologie_Botanique	12	1	der Skunk(s)	True	Skunk(s)
21	der Iitis, se/der Ratz, e	barrir ; les barrissements 	False	Zoologie_Botanique	12	1	der Iitis	True	Iitis
22	der Waschbär, en, en	le cornac	False	Zoologie_Botanique	12	1	der Waschbär	True	Waschbär
23	der Narz, 8; der Mink, e	l'hippopotame 	False	Zoologie_Botanique	12	1	der Narz	True	Narz
24	der Zobel, -	le rhinocéros	False	Zoologie_Botanique	12	1	der Zobel	True	Zobel
25	Insektenfresser mp!	Carnassiers , carnivores 	False	Zoologie_Botanique	12	1		False	
26	"die Fledermaus, ""e"	le chacal	False	Zoologie_Botanique	12	1	die Fledermaus	True	Fledermaus
27	die Zwergfledermaus	le coyote	False	Zoologie_Botanique	12	1	die Zwergfledermaus	True	Zwergfledermaus
28	das braune Langohr, en	le ennec	False	Zoologie_Botanique	12	1		False	
29	das Großmausohr	le glouton	False	Zoologie_Botanique	12	1	das Großmausohr	True	Großmausohr
30	der Abendsegler, - ; der Vampir, &	le loup	False	Zoologie_Botanique	12	1	der Abendsegler	True	Abendsegler
31	der Igel, -	la louve ; le louveteau	False	Zoologie_Botanique	12	1	der Igel	True	Igel
32	"die Spitzmaus, ""e"	hurler ; les hurlements 	False	Zoologie_Botanique	12	1	die Spitzmaus	True	Spitzmaus
33	das Schuppentier, e	le renard	False	Zoologie_Botanique	12	1	das Schuppentier	True	Schuppentier
34	der Ameisenbär, en, en	le renard plaire/lisatis 	False	Zoologie_Botanique	12	1	der Ameisenbär	True	Ameisenbär
35	das Gürteltier, e	la tanière du renard	False	Zoologie_Botanique	12	1	das Gürteltier	True	Gürteltier
36	"der Maulwurf, ""&"	l'ours	False	Zoologie_Botanique	12	1	der Maulwurf	True	Maulwurf
37	der Maulwurfhügel, -	l'ourse ; l'ourson 	False	Zoologie_Botanique	12	1	der Maulwurfhügel	True	Maulwurfhügel
38	in der Erde wühlen	l'ours blanc	False	Zoologie_Botanique	12	1		False	
39	das Wühltier, e	le grizzli	False	Zoologie_Botanique	12	1	das Wühltier	True	Wühltier
40	das Faultier (ein Blattfresser)	grogner	False	Zoologie_Botanique	12	1		False	
41	Nagetiere nol	le panda	False	Zoologie_Botanique	12	1		False	
42	nagen an+D	le raton laveur	False	Zoologie_Botanique	12	1		False	
43	"die Feldmaus, ""e"	ogrands élins, auves 	False	Zoologie_Botanique	12	1	die Feldmaus	True	Feldmaus
44	der Biber, -	la gueule	False	Zoologie_Botanique	12	1	der Biber	True	Biber
45	die Zibetkatze, n	la patte ; les griffes 	False	Zoologie_Botanique	12	1	die Zibetkatze	True	Zibetkatze
46	das Meerschweinchen, -	le coup de griffe	False	Zoologie_Botanique	12	1	das Meerschweinchen	True	Meerschweinchen
47	das Eichhörnchen, -	feuler ; rugir	False	Zoologie_Botanique	12	1	das Eichhörnchen	True	Eichhörnchen
48	das Flughörnchen	épier, guetter tr	False	Zoologie_Botanique	12	1	das Flughörnchen	True	Flughörnchen
49	das Feh, &	bondir sur	False	Zoologie_Botanique	12	1	das Feh	True	Feh
50	die Ginsterkatze, n	se jeter sur	False	Zoologie_Botanique	12	1	die Ginsterkatze	True	Ginsterkatze
51	"die Springmaus, ""e"	dépecer, déchirer	False	Zoologie_Botanique	12	1	die Springmaus	True	Springmaus
52	der Goldhamster, -	le repaire, la tanière	False	Zoologie_Botanique	12	1	der Goldhamster	True	Goldhamster
53	das Wildkaninchen, -	le chat orestier/sauvage	False	Zoologie_Botanique	12	1	das Wildkaninchen	True	Wildkaninchen
54	das Kanin(chenfell), &	le guépard	False	Zoologie_Botanique	12	1	das Kanin(chenfell)	True	Kanin(chenfell)
55	der Rammler, -	l’hyène ; 	False	Zoologie_Botanique	12	1	der Rammler	True	Rammler
56	die Häsin, nen	le jaguar	False	Zoologie_Botanique	12	1	die Häsin	True	Häsin
57	das junge Kaninchen, -	le lion	False	Zoologie_Botanique	12	1		False	
58	der Bau, @	la crinière	False	Zoologie_Botanique	12	1	der Bau	True	Bau
59	die Röhre, n	la lionne ; le lionceau	False	Zoologie_Botanique	12	1	die Röhre	True	Röhre
60	der Kessel, -/die Kammer, n	le lynx, le loup-cervier	False	Zoologie_Botanique	12	1	der Kessel	True	Kessel
61			False	Zoologie_Botanique	12	1		False	
0	plante	linflorescence 	False	Zoologie_Botanique	14	0		False	
1	die Pflanze, n, das Gewächs, 	la grappe	False	Zoologie_Botanique	14	0	die Pflanze	True	Pflanze
2	einhäusig ; zweihäusig	’ombelle 	False	Zoologie_Botanique	14	0		False	
3	einjährig ; zweijährig	cyme bipare	False	Zoologie_Botanique	14	0		False	
4	mehrjährig	le corymbe	False	Zoologie_Botanique	14	0		False	
5	die Staude, n	le capitule	False	Zoologie_Botanique	14	0	die Staude	True	Staude
6	die Wasserpflanze	épi ; l'épillet 	False	Zoologie_Botanique	14	0	die Wasserpflanze	True	Wasserpflanze
7	die Fleisch fressende Pflanze	chaton	False	Zoologie_Botanique	14	0		False	
8	der Epiphyt, en, en	le calice ; le sépale	False	Zoologie_Botanique	14	0	der Epiphyt	True	Epiphyt
9	die Wurzel, n ; die Hauptwurzel ; die Adventivwurzel	la spathe	False	Zoologie_Botanique	14	0	die Wurzel	True	Wurzel
10	die Pfahlwurzel	le spadice	False	Zoologie_Botanique	14	0	die Pfahlwurzel	True	Pfahlwurzel
11	das Würzelchen, -	la panicule ; paniculé	False	Zoologie_Botanique	14	0	das Würzelchen	True	Würzelchen
12	das Wurzelhaar, e	corolle	False	Zoologie_Botanique	14	0	das Wurzelhaar	True	Wurzelhaar
13	die Wurzelhaubs, n	le pétale	False	Zoologie_Botanique	14	0	die Wurzelhaubs	True	Wurzelhaubs
14	die Wurzelknolle, n	le carpelle	False	Zoologie_Botanique	14	0	die Wurzelknolle	True	Wurzelknolle
